,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,provinceID,lockdate,label
7568,47,2021-07-06,7,1.0,1549.0,60.0,,,
7569,46,2021-07-06,35,1.0,1182.0,83.0,,,
7570,35,2021-07-06,244,9.0,12949.0,319.0,,,
7571,24,2021-07-06,67,0.0,15903.0,94.0,,,
7572,10,2021-07-06,0,0.0,474.0,1.0,,,
7573,13,2021-07-06,0,0.0,491.0,1.0,,,
7574,12,2021-07-06,7,0.0,2413.0,8.0,,,
7575,11,2021-07-06,1,0.0,121.0,0.0,,,
7576,60,2021-07-06,37,0.0,0.0,39.0,,,
7577,61,2021-07-06,0,0.0,10.0,0.0,,,
7578,62,2021-07-06,0,0.0,63.0,0.0,,,
7579,99,2021-07-06,0,0.0,0.0,0.0,,,
7580,1,2021-07-06,438,13.0,42784.0,762.0,,,
7581,59,2021-07-07,59,0.0,4913.0,35.0,,,
7582,48,2021-07-07,67,2.0,4415.0,83.0,,,
7583,47,2021-07-07,54,1.0,2396.0,40.0,,,
7584,46,2021-07-07,66,2.0,1042.0,50.0,,,
7585,35,2021-07-07,194,0.0,28755.0,236.0,,,
7586,24,2021-07-07,103,1.0,16390.0,76.0,,,
7587,10,2021-07-07,0,0.0,283.0,2.0,,,
7588,13,2021-07-07,0,0.0,446.0,5.0,,,
7589,12,2021-07-07,1,0.0,3199.0,6.0,,,
7590,11,2021-07-07,0,0.0,266.0,0.0,,,
7591,60,2021-07-07,10,0.0,0.0,10.0,,,
7592,61,2021-07-07,0,0.0,50.0,0.0,,,
7593,62,2021-07-07,0,0.0,34.0,0.0,,,
7594,99,2021-07-07,0,0.0,0.0,0.0,,,
7595,1,2021-07-07,554,6.0,62189.0,543.0,,,
7596,59,2021-07-08,59,1.0,6041.0,36.0,,,
7597,48,2021-07-08,23,0.0,6162.0,71.0,,,
7598,47,2021-07-08,113,0.0,2240.0,17.0,,,
7599,46,2021-07-08,84,3.0,1740.0,52.0,,,
7600,35,2021-07-08,210,4.0,26976.0,231.0,,,
7601,24,2021-07-08,64,10.0,17663.0,69.0,,,
7602,10,2021-07-08,0,0.0,626.0,0.0,,,
7603,13,2021-07-08,0,0.0,607.0,1.0,,,
7604,12,2021-07-08,2,0.0,3924.0,2.0,,,
7605,11,2021-07-08,0,0.0,198.0,0.0,,,
7606,60,2021-07-08,12,0.0,0.0,22.0,,,
7607,61,2021-07-08,0,0.0,51.0,0.0,,,
7608,62,2021-07-08,0,0.0,20.0,0.0,,,
7609,99,2021-07-08,0,0.0,0.0,0.0,,,
7610,1,2021-07-08,567,18.0,66248.0,501.0,,,
7611,59,2021-07-09,116,0.0,6974.0,103.0,,,
7612,48,2021-07-09,52,0.0,5897.0,74.0,,,
7613,47,2021-07-09,46,1.0,2544.0,57.0,,,
7614,46,2021-07-09,74,3.0,1745.0,55.0,,,
7615,35,2021-07-09,183,9.0,25857.0,233.0,,,
7616,24,2021-07-09,287,1.0,16620.0,291.0,,,
7617,10,2021-07-09,2,0.0,498.0,0.0,,,
7618,13,2021-07-09,0,0.0,605.0,2.0,,,
7619,12,2021-07-09,1,0.0,3406.0,1.0,,,
7620,11,2021-07-09,0,0.0,186.0,1.0,,,
7621,60,2021-07-09,9,0.0,0.0,26.0,,,
7622,61,2021-07-09,0,0.0,40.0,0.0,,,
7623,62,2021-07-09,0,0.0,35.0,0.0,,,
7624,99,2021-07-09,0,0.0,0.0,0.0,,,
7625,1,2021-07-09,770,14.0,64407.0,843.0,,,
7626,59,2021-07-10,46,0.0,6841.0,0.0,,,
7627,48,2021-07-10,31,0.0,7316.0,0.0,,,
7628,47,2021-07-10,42,1.0,1653.0,30.0,,,
7629,46,2021-07-10,87,0.0,2304.0,66.0,,,
