,pruid,date,Class
640,10.0,2020-03-22,1.0
641,10.0,2020-03-23,1.0
642,10.0,2020-03-24,1.0
643,10.0,2020-03-25,1.0
644,10.0,2020-03-26,1.0
645,10.0,2020-03-27,1.0
646,10.0,2020-03-28,1.0
647,10.0,2020-03-29,1.0
648,10.0,2020-03-30,1.0
649,10.0,2020-03-31,1.0
650,10.0,2020-04-01,1.0
651,10.0,2020-04-02,1.0
652,10.0,2020-04-03,1.0
653,10.0,2020-04-04,1.0
654,10.0,2020-04-05,1.0
655,10.0,2020-04-06,1.0
656,10.0,2020-04-07,1.0
657,10.0,2020-04-08,1.0
658,10.0,2020-04-09,1.0
659,10.0,2020-04-10,1.0
660,10.0,2020-04-11,1.0
661,10.0,2020-04-12,1.0
662,10.0,2020-04-13,1.0
663,10.0,2020-04-14,1.0
664,10.0,2020-04-15,1.0
665,10.0,2020-04-16,1.0
666,10.0,2020-04-17,1.0
667,10.0,2020-04-18,1.0
668,10.0,2020-04-19,1.0
669,10.0,2020-04-20,1.0
670,10.0,2020-04-21,1.0
671,10.0,2020-04-22,1.0
672,10.0,2020-04-23,1.0
673,10.0,2020-04-24,1.0
674,10.0,2020-04-25,1.0
675,10.0,2020-04-26,1.0
676,10.0,2020-04-27,1.0
677,10.0,2020-04-28,1.0
678,10.0,2020-04-29,1.0
679,10.0,2020-04-30,1.0
680,10.0,2020-05-01,1.0
681,10.0,2020-05-02,1.0
682,10.0,2020-05-03,1.0
683,10.0,2020-05-04,1.0
684,10.0,2020-05-05,1.0
685,10.0,2020-05-06,1.0
686,10.0,2020-05-07,1.0
687,10.0,2020-05-08,1.0
688,10.0,2020-05-09,1.0
689,10.0,2020-05-10,1.0
690,10.0,2020-05-11,0.0
691,10.0,2020-05-12,0.0
692,10.0,2020-05-13,0.0
693,10.0,2020-05-14,0.0
694,10.0,2020-05-15,1.0
695,10.0,2020-05-16,1.0
696,10.0,2020-05-17,1.0
697,10.0,2020-05-18,1.0
698,10.0,2020-05-19,1.0
699,10.0,2020-05-20,1.0
700,10.0,2020-05-21,1.0
701,10.0,2020-05-22,1.0
702,10.0,2020-05-23,1.0
703,10.0,2020-05-24,1.0
704,10.0,2020-05-25,1.0
705,10.0,2020-05-26,1.0
706,10.0,2020-05-27,1.0
707,10.0,2020-05-28,1.0
708,10.0,2020-05-29,1.0
709,10.0,2020-05-30,1.0
710,10.0,2020-05-31,1.0
711,10.0,2020-06-01,0.0
712,10.0,2020-06-02,0.0
713,10.0,2020-06-03,0.0
