,pruid,date,numtoday,numdeathstoday,numtestedtoday,numrecoveredtoday
500,12,20200409,31,1.0,973.0,0.0
501,11,20200409,1,0.0,88.0,0.0
502,60,20200409,1,0.0,12.0,0.0
503,61,20200409,0,0.0,14.0,0.0
504,62,20200409,0,0.0,7.0,0.0
505,99,20200409,0,0.0,0.0,0.0
506,1,20200409,1476,74.0,13333.0,0.0
507,59,20200410,40,5.0,1080.0,21.0
508,48,20200410,49,7.0,1964.0,0.0
509,47,20200410,7,0.0,893.0,0.0
510,46,20200410,6,1.0,1506.0,0.0
511,35,20200410,478,22.0,4365.0,0.0
512,24,20200410,765,25.0,4852.0,0.0
513,10,20200410,3,0.0,136.0,0.0
514,13,20200410,1,0.0,350.0,0.0
515,12,20200410,34,0.0,836.0,0.0
516,11,20200410,0,0.0,0.0,0.0
517,60,20200410,0,0.0,0.0,0.0
518,61,20200410,0,0.0,77.0,0.0
519,62,20200410,0,0.0,14.0,0.0
520,99,20200410,0,0.0,0.0,0.0
521,1,20200410,1383,60.0,16073.0,0.0
522,59,20200411,35,3.0,0.0,26.0
523,48,20200411,69,1.0,2699.0,0.0
524,47,20200411,4,1.0,764.0,0.0
525,46,20200411,12,0.0,145.0,0.0
526,35,20200411,411,31.0,3567.0,0.0
527,24,20200411,615,48.0,4898.0,0.0
528,10,20200411,2,0.0,193.0,0.0
529,13,20200411,0,0.0,201.0,0.0
530,12,20200411,21,0.0,630.0,0.0
531,11,20200411,0,0.0,142.0,0.0
532,60,20200411,0,0.0,9.0,0.0
533,61,20200411,0,0.0,28.0,0.0
534,62,20200411,0,0.0,0.0,0.0
535,99,20200411,0,0.0,0.0,0.0
536,1,20200411,1169,84.0,13276.0,0.0
537,59,20200412,0,0.0,2124.0,0.0
538,48,20200412,82,4.0,1930.0,0.0
539,47,20200412,9,0.0,783.0,0.0
540,46,20200412,0,0.0,846.0,0.0
541,35,20200412,401,21.0,6946.0,0.0
542,24,20200412,554,39.0,3656.0,0.0
543,10,20200412,1,0.0,99.0,0.0
544,13,20200412,2,0.0,260.0,0.0
545,12,20200412,17,0.0,818.0,0.0
546,11,20200412,0,0.0,68.0,0.0
547,60,20200412,0,0.0,0.0,0.0
548,61,20200412,0,0.0,16.0,0.0
549,62,20200412,0,0.0,3.0,0.0
550,99,20200412,0,0.0,0.0,0.0
551,1,20200412,1066,64.0,17549.0,0.0
552,59,20200413,45,11.0,1010.0,21.0
553,48,20200413,81,2.0,2298.0,0.0
554,47,20200413,2,0.0,496.0,0.0
555,46,20200413,4,0.0,53.0,0.0
556,35,20200413,421,17.0,4980.0,0.0
557,24,20200413,711,32.0,4799.0,0.0
558,10,20200413,2,0.0,85.0,0.0
559,13,20200413,2,0.0,244.0,0.0
560,12,20200413,29,1.0,1219.0,0.0
561,11,20200413,0,0.0,70.0,0.0
562,60,20200413,0,0.0,17.0,0.0
563,61,20200413,0,0.0,4.0,0.0
564,62,20200413,0,0.0,0.0,0.0
565,99,20200413,0,0.0,0.0,0.0
566,1,20200413,1297,63.0,15275.0,0.0
567,59,20200414,27,3.0,764.0,16.0
568,48,20200414,138,2.0,2688.0,0.0
